email, senha
INFO[0000] 0.0012032733731497972@mail.com,user123
INFO[0001] 0.5783565164742699@mail.com,user123
INFO[0002] 0.4457932259135156@mail.com,user123
INFO[0003] 0.5174474911347338@mail.com,user123
INFO[0004] 0.44318495867895225@mail.com,user123
INFO[0004] 0.8346146692167825@mail.com,user123
INFO[0004] 0.19152459324659207@mail.com,user123
INFO[0005] 0.4886753117195614@mail.com,user123
INFO[0006] 0.6895216829992521@mail.com,user123
INFO[0006] 0.1588929845315779@mail.com,user123
INFO[0007] 0.13266230302713894@mail.com,user123
INFO[0007] 0.3356888929449632@mail.com,user123
INFO[0008] 0.14838112547027457@mail.com,user123
INFO[0008] 0.75790209953454@mail.com,user123
INFO[0008] 0.3281856768588626@mail.com,user123
INFO[0008] 0.23040945986915937@mail.com,user123
INFO[0009] 0.13736745261767994@mail.com,user123
INFO[0010] 0.8364872734329949@mail.com,user123
